,CGP(1+4),CGP(16+64),CGP-1x(40+40),LGP-1x(40+40),CGP-2x(40+40),LGP-2x(40+40),CGP-SGx(40+40),LGP-Ux(40+40)
CGP(1+4),-,0.00002,0.00000,0.03335,0.00000,0.67140,0.00001,0.00090
CGP(16+64),-,-,0.00000,0.00000,0.00000,0.00029,0.00000,0.00000
CGP-1x(40+40),-,-,-,0.06112,0.30596,0.00104,0.76953,0.22891
LGP-1x(40+40),-,-,-,-,0.01885,0.15711,0.11033,0.36930
CGP-2x(40+40),-,-,-,-,-,0.00030,0.17335,0.08664
LGP-2x(40+40),-,-,-,-,-,-,0.00586,0.02474
CGP-SGx(40+40),-,-,-,-,-,-,-,0.49704
LGP-Ux(40+40),-,-,-,-,-,-,-,-
