,CGP(1+4),CGP(16+64),CGP-1x(40+40),LGP-1x(40+40),CGP-2x(40+40),LGP-2x(40+40),CGP-SGx(40+40),LGP-Ux(40+40)
CGP(1+4),-,0.00007,0.00000,0.11711,0.00000,0.02772,0.00000,0.83240
CGP(16+64),-,-,0.00000,0.14948,0.00000,0.03307,0.00000,0.58599
CGP-1x(40+40),-,-,-,0.00399,0.97525,0.00109,0.17118,0.00703
LGP-1x(40+40),-,-,-,-,0.00254,0.84868,0.00174,0.99406
CGP-2x(40+40),-,-,-,-,-,0.00060,0.25678,0.00421
LGP-2x(40+40),-,-,-,-,-,-,0.00038,0.71549
CGP-SGx(40+40),-,-,-,-,-,-,-,0.00095
LGP-Ux(40+40),-,-,-,-,-,-,-,-
