,CGP(1+4),CGP(16+64),CGP-1x(40+40),LGP-1x(40+40),CGP-2x(40+40),LGP-2x(40+40),CGP-SGx(40+40),LGP-Ux(40+40)
CGP(1+4),-,0.02861,0.00000,0.19351,0.00001,0.00408,0.00000,0.00001
CGP(16+64),-,-,0.00000,0.00561,0.00000,0.00003,0.00000,0.00000
CGP-1x(40+40),-,-,-,0.02520,0.66657,0.54632,0.33620,0.48407
LGP-1x(40+40),-,-,-,-,0.06206,0.21119,0.01513,0.07960
CGP-2x(40+40),-,-,-,-,-,0.69687,0.26852,0.73810
LGP-2x(40+40),-,-,-,-,-,-,0.30744,0.79325
CGP-SGx(40+40),-,-,-,-,-,-,-,0.16371
LGP-Ux(40+40),-,-,-,-,-,-,-,-
